loss_A,obs_act_acc_A,obs_card_acc_A,act_acc_A,loss_B,obs_act_acc_B,obs_card_acc_B,act_acc_B,loss_C,obs_act_acc_C,obs_card_acc_C,act_acc_C,loss_D,obs_act_acc_D,obs_card_acc_D,act_acc_D,loss_E,obs_act_acc_E,obs_card_acc_E,act_acc_E,loss_F,obs_act_acc_F,obs_card_acc_F,act_acc_F,loss_G,obs_act_acc_G,obs_card_acc_G,act_acc_G
1.7292408347129822,0.5520833333333334,0.5520833333333334,0.5520833333333334,1.8282557129859924,0.5416666666666666,0.5416666666666666,0.5416666666666666,1.8163181344668071,0.5729166666666666,0.5729166666666666,0.5729166666666666,1.7914357781410217,0.5520833333333334,0.5520833333333334,0.5520833333333334,2.030388434727987,0.6458333333333334,0.6458333333333334,0.6458333333333334,1.4117887616157532,0.5416666666666666,0.5416666666666666,0.5416666666666666,1.563670449786716,1.0,0.8291139240506329,0.34556962025316457
1.2021636565526326,0.5520833333333334,0.5520833333333334,0.5520833333333334,1.2085394064585369,0.5416666666666666,0.5416666666666666,0.5416666666666666,1.2210050423940022,0.4270833333333333,0.4270833333333333,0.5729166666666666,1.2105655868848164,0.5520833333333334,0.5520833333333334,0.5520833333333334,1.4804131984710693,0.9166666666666666,0.9166666666666666,0.6458333333333334,1.0813933866364616,1.0,1.0,0.5416666666666666,1.192250830356521,1.0,0.8291139240506329,0.5569620253164557
1.1629699269930522,1.0,1.0,0.5520833333333334,1.1157584190368652,1.0,1.0,0.5416666666666666,1.1532180110613506,0.5729166666666666,0.5729166666666666,0.5729166666666666,1.1963237325350444,0.5520833333333334,0.5520833333333334,0.5520833333333334,1.374042570590973,0.75,0.75,0.6458333333333334,0.9733821664537702,1.0,1.0,0.5416666666666666,0.9804312731280471,1.0,0.8816455696202532,0.55
1.0586688419183095,1.0,1.0,0.5520833333333334,0.9779679377873739,1.0,1.0,0.5416666666666666,1.0864104231198628,1.0,1.0,0.5729166666666666,1.109931190808614,1.0,1.0,0.5520833333333334,1.274393339951833,0.9166666666666666,0.9166666666666666,0.6458333333333334,0.8712124058178493,1.0,1.0,0.8194444444444444,0.8599834719089546,1.0,0.8367088607594937,0.5879746835443038
0.9414280652999878,1.0,1.0,0.75,0.8432090083758036,1.0,1.0,0.7083333333333334,1.008797248204549,1.0,1.0,0.4270833333333333,1.015138288338979,1.0,1.0,0.5520833333333334,1.149166762828827,0.9166666666666666,0.9166666666666666,0.6458333333333334,0.6746551394462585,1.0,1.0,0.8333333333333334,0.7563884324497647,1.0,0.8291139240506329,0.6411392405063291
0.7956006824970245,1.0,1.0,0.84375,0.737396627664566,1.0,1.0,0.7083333333333334,0.9361823896567026,1.0,1.0,0.5729166666666666,0.9346712430318197,1.0,1.0,0.5520833333333334,1.0192475219567616,1.0,1.0,0.65625,0.5453113189765385,1.0,1.0,0.8055555555555556,0.6659511014668629,0.9677215189873418,0.8651898734177215,0.6727848101265823
0.6456064482529958,1.0,1.0,0.8854166666666666,0.737588127454122,1.0,1.0,0.7083333333333334,0.8922931949297587,1.0,1.0,0.5729166666666666,0.8561859925587972,1.0,1.0,0.5520833333333334,0.9336833159128824,1.0,1.0,0.7291666666666666,0.4598623067140579,1.0,1.0,0.8287037037037037,0.5729152870298636,0.9487341772151898,0.8759493670886076,0.7474683544303797
0.6194375356038412,1.0,1.0,0.84375,0.7180624107519785,1.0,1.0,0.6458333333333334,0.8557127118110657,1.0,1.0,0.5729166666666666,0.7328253388404846,1.0,1.0,0.6770833333333334,0.8737959563732147,1.0,1.0,0.6979166666666666,0.3077068052121571,1.0,1.0,0.9166666666666666,0.5239970678030842,0.9234177215189874,0.9063291139240506,0.769620253164557
0.689779798189799,1.0,1.0,0.84375,0.6920469601949056,1.0,1.0,0.7083333333333334,0.8158808747927347,1.0,1.0,0.5729166666666666,0.630200038353602,1.0,1.0,0.7916666666666666,0.8249089121818542,1.0,1.0,0.7395833333333334,0.25717575528791975,1.0,1.0,0.8703703703703703,0.4472904262518642,0.8955696202531646,0.8911392405063291,0.8031645569620253
0.6663519442081451,1.0,1.0,0.8854166666666666,0.6736460427443186,1.0,1.0,0.7083333333333334,0.7834503650665283,1.0,1.0,0.6145833333333334,0.6059656739234924,1.0,1.0,0.6979166666666666,0.8213753004868826,1.0,1.0,0.71875,0.240521283021995,1.0,1.0,0.9259259259259259,0.40641363010262,0.9164556962025316,0.8727848101265823,0.7987341772151899
