reward_A,loss_A,reward_B,loss_B,reward_C,loss_C,reward_D,loss_D,reward_E,loss_E,reward_F,loss_F,reward_G,loss_G
0.8333334,0.0,0.5,0.0,0.75,0.0,0.75,0.0,0.8,0.0,0.7777778,0.0,0.8854166666666666,0.0
0.8333334,0.0,0.5,0.0,0.75,0.0,0.75,0.0,0.8,0.0,0.7777778,0.0,0.875,0.0
0.8333334,0.0,0.5,0.0,0.75,0.0,0.75,0.0,0.8,0.0,0.7777778,0.0,0.8645833333333334,0.0
0.8333334,0.0,0.5,0.0,0.75,0.0,0.75,0.0,0.8,0.0,0.7777778,0.0,0.9166666666666666,0.0
0.8333334,0.0,0.5,0.0,0.75,0.0,0.75,0.0,0.8,0.0,0.7777778,0.0,0.9166666666666666,0.0
